Adawaty Master Tools Database v1.0
Part 1 — PDF Tools (001–100)

Category: PDF


| #   | English               | Arabic                | Slug                  |
| --- | --------------------- | --------------------- | --------------------- |
| 001 | Merge PDF             | دمج ملفات PDF         | merge-pdf             |
| 002 | Split PDF             | تقسيم PDF             | split-pdf             |
| 003 | Compress PDF          | ضغط PDF               | compress-pdf          |
| 004 | PDF to Word           | PDF إلى Word          | pdf-to-word           |
| 005 | Word to PDF           | Word إلى PDF          | word-to-pdf           |
| 006 | PDF to Excel          | PDF إلى Excel         | pdf-to-excel          |
| 007 | Excel to PDF          | Excel إلى PDF         | excel-to-pdf          |
| 008 | PDF to PowerPoint     | PDF إلى PowerPoint    | pdf-to-powerpoint     |
| 009 | PowerPoint to PDF     | PowerPoint إلى PDF    | powerpoint-to-pdf     |
| 010 | PDF to JPG            | PDF إلى JPG           | pdf-to-jpg            |
| 011 | JPG to PDF            | JPG إلى PDF           | jpg-to-pdf            |
| 012 | PDF to PNG            | PDF إلى PNG           | pdf-to-png            |
| 013 | PNG to PDF            | PNG إلى PDF           | png-to-pdf            |
| 014 | PDF to TIFF           | PDF إلى TIFF          | pdf-to-tiff           |
| 015 | TIFF to PDF           | TIFF إلى PDF          | tiff-to-pdf           |
| 016 | PDF to BMP            | PDF إلى BMP           | pdf-to-bmp            |
| 017 | BMP to PDF            | BMP إلى PDF           | bmp-to-pdf            |
| 018 | PDF to SVG            | PDF إلى SVG           | pdf-to-svg            |
| 019 | SVG to PDF            | SVG إلى PDF           | svg-to-pdf            |
| 020 | PDF to WEBP           | PDF إلى WEBP          | pdf-to-webp           |
| 021 | WEBP to PDF           | WEBP إلى PDF          | webp-to-pdf           |
| 022 | PDF to GIF            | PDF إلى GIF           | pdf-to-gif            |
| 023 | GIF to PDF            | GIF إلى PDF           | gif-to-pdf            |
| 024 | PDF to HTML           | PDF إلى HTML          | pdf-to-html           |
| 025 | HTML to PDF           | HTML إلى PDF          | html-to-pdf           |
| 026 | PDF to TXT            | PDF إلى TXT           | pdf-to-txt            |
| 027 | TXT to PDF            | TXT إلى PDF           | txt-to-pdf            |
| 028 | PDF to Markdown       | PDF إلى Markdown      | pdf-to-md             |
| 029 | Markdown to PDF       | Markdown إلى PDF      | md-to-pdf             |
| 030 | PDF to EPUB           | PDF إلى EPUB          | pdf-to-epub           |
| 031 | EPUB to PDF           | EPUB إلى PDF          | epub-to-pdf           |
| 032 | PDF to MOBI           | PDF إلى MOBI          | pdf-to-mobi           |
| 033 | MOBI to PDF           | MOBI إلى PDF          | mobi-to-pdf           |
| 034 | PDF to AZW3           | PDF إلى AZW3          | pdf-to-azw3           |
